Genre,TotalEarnings,OnlineEarnings,TotalPlayers,TotalTournaments,AvgPlayerTourment
Puzzle Game,72776.89,38701.85,216,89,2.4269662921348316
Third-Person Shooter,5512086.38,4296751.38,474,98,4.836734693877551
Role-Playing Game,8411452.83,5927244.43,820,255,3.215686274509804
Racing,11986671.93,5911486.62,3843,1330,2.889473684210526
Fighting Game,23803414.9,21201430.21,14108,10069,1.4011321879034662
Sports,38104396.39,21228187.71,4689,3115,1.5052969502407705
Collectible Card Game,41612491.03,28992624.44,4425,1618,2.7348578491965387
Strategy,77578197.16999999,56395996.019999996,9295,10940,0.8496343692870201
Battle Royale,202033493.53,103289199.75999999,12450,1686,7.384341637010676
First-Person Shooter,296969619.31,198146790.85000002,44506,13348,3.3342822894815702
Multiplayer Online Battle Arena,445974616.58,400193902.13,17291,5539,3.121682614190287
